Label,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196
1,7.22E+06,1.37E+06,989666,2.62E+06,371959,1.34E+06,2.12E+06,101133,626409,721039,653601,2.61E+06,1.41E+06,923409,1.94E+06,2.18E+06,1.13E+06,2.06E+06,681718,923940,454395,1.08E+06,603220,697534,73695,312028,454311,390535,810410,480760,18666,26916,384993,402760,292369,348044,35189,214611,203089,287514,321814,199295,229715,13099,128221,281937,178646,123139,203308,240416,179653,192601,191417,181996,165245,19970,220945,17841,83612,35363,210149,177228,189054,77958,18601,27963,79183,65463,45847,128656,205390,103667,88982.5,97429.2,68978,97352.8,211922,52261,10132,52703,119740,51973,86218,131814,32219,42565,50199,8415,64687,130136,46516,57971,119060,187598,16049,5143,43213,55694,65100.5,9957,9331,75841,44732,43245,115294,34965,5665,34484,24763,29925,12599,43651,106686,25473,33702,33179,33561,92930,22260,44316,39677,23198,27703,27375,0,44879,73335.8,9487,12751,26543,12305,83531,35526,37391,24717,22600,12665,18811,28825,23354,17911,68158,28809,21309,7420,35805,5050,38701,27293,25632,17585,0,21372,29094,14161,28963,12902,0,13212,14695,19220,12834,8959,22265,23979,15306,26358,12865,37899.6,13305,15269,9882,13765,14033,16931,13666,5419.65,21012,6090,5206,6558,33172,7445,7422,6168,0,4440,0,3312,8051,7628,3793,7640,13425.1,5097,2533
1,1.11E+07,509551,469103,1.93E+06,91483,1.54E+06,1.17E+06,300105,4.01E+06,1.50E+06,1.81E+06,2.02E+06,3.53E+06,1.16E+06,1.04E+06,1.53E+06,628223,993916,1.06E+06,474531,331164,843543,617334,555511,33506,372092,735358,445814,436499,637251,606424,46046,302341,314218,184488,362776,84285,119925,73740,1.72E+06,364169,109144,445661,58669,412593,583593,33952,247242,392915,201852,0,222330,118900,236647,106751,90488,144912,37848,35984,0,89868,111533,125503,77270.8,0,0,70484,156117,227123,241952,98795,90608,91874,26827,99000,19473,174187,124596,6325,92770,111237,126852,96960,112237,62483.1,21323,100123,11831.7,58815,86545,67621,58787,112550,256993,37083,79687,0,48212,65100.5,25328,20316,36099,35052,56696,280127,0,24777,0,9735,33823,15076,17808,38009,47013,69641,52033,63336,44227,16020,55279,50948,31801,40614,11207,0,18075,62447,0,43650,46891,49489,30685,37064,44865,62366,43793,13369.5,8213,33615,29087,16490.9,11215,8212,32110,3653,18940,8291,10755,50624,25329,0,0,25887,43130,0,46751,24085,47400,36487,25221,11411.2,26256,31850,12988,18212,15140,18424,24525.1,31561,23221,13007,15144,15340,5080.75,20148,7629,5419.65,18065,13665,22367,15185,7956,12019,0,8718,9868,9533,11578,13242,4266,3410,3158,8591,5857,5289,4840
1,1.08E+07,1.23E+06,3.28E+06,1.63E+06,48193,1.60E+06,805135,819988,3.07E+06,2.42E+06,1.17E+06,1.36E+06,1.28E+06,638588,1.52E+06,1.14E+06,467814,631391,858034,544253,646988,501909,778906,470411,111184,382992,1.57E+06,430687,339290,1.55E+06,425602,89519,193360,160513,691517,177144,216565,172190,182485,149959,327000,106976,356541,158250,224368,570846,10012,202047,454848,132418,0,327231,65403,514891,104913,166294,119409,114346,73258,0,114343,98613,280396,169811,0,0,49658,101922,263650,230424,80945,65655,47148,45194,66139,36875,199975,110907,10671,64037,75369,185417,78270,77111,88496,16266,73183,5890,59413,145872,43585,76317,81493,113247,5868,63348,0,29934,35666,20829.9,24356.4,38651,80425,72069,131233,0,3720,0,18546.7,38491,23346,36791,63788,35536,42082,36308,41625,53806,15572,48664,31108,55850,39239,33028,38361,22432,213965,0,21806,48643,56994,35152,27437,35402,52389,30802,10994,20268.5,55241,34911,14581,21218,12943,48513,9786,16104,5429.08,15997,43176,34469,145912,0,23891,52404,12695,40101,28786,0,22130,16388,10250,21241,29470,33820,0,20486,42437,10084,38824,37147,9086,11441,10333,5080.75,21364,5335,6187,13443,7819,24017,11605,34417,11019,0,9424,0,8900,10986,16566,5080.04,4745,4683.96,5160,6958,4621,4091
1,1.41E+07,525434,1.05E+06,2.70E+06,134328,1.45E+06,1.51E+06,284308,3.01E+06,718328,3.17E+06,1.65E+06,1.22E+06,1.95E+06,1.76E+06,632925,864297,447284,1.49E+06,533996,530173,976215,841453,441372,21937,498124,1.31E+06,370740,1.29E+06,780995,175926,44412,519635,424652,178287,384963,82000,120614,71881,597146,264248,121441,803803,68120,534811,1.61E+06,32093,672206,575619,316588,0,835413,195954,313509,130396,97365,115201,40615,36851,10350,53059,197895,214745,53582,5743,0,39849,373743,238883,658105,133815,139700,178068,54471,238589,43742,177521,212895,7169,203352,156936,224670,67862,148666,62483.1,25576,221283,11831.7,45750,134415,140750,105047,186186,102714,23607,40791,0,68954,23002,6525,8348,48250.6,20704,30827,69624,0,2959,0,13991,46590,13965,16604,74675,115295,143333,38738,139499,34959,18143,67118,75481,31357,60119,20244,0,31823,30447,0,72429,28085,53733,45453,60251,82896,95588,99913,6045,9520,56647,34931,10698,24001,0,69068,9469,31030,5999,5865,120505,41873,0,0,23013,64952,0,59024.8,58040,20843,62946,79289,13221,62384,20062,21345,0,9303,26488,32250,33941,29934.4,18068,36409,26104,3926,26318,13079,3587,24989,33694,23343,21829,7548,22789,0,9293.13,5703,0,23843,13458,4935,5600,4705,5346,6597,9242,11227
1,8.03E+06,571514,142021,1.31E+06,179419,1.35E+06,883941,526806,2.87E+06,493365,788611,1.18E+06,1.08E+06,854037,963490,426240,473091,310455,387842,484865,274518,589745,257433,593625,62117,339257,294187,439623,399324,401226,79430,84094,616167,513981,114659,453669,149563,287589,315664,187247,182324,141158,131847,111359,189818,974216,28918,92845,118664,338935,0,102938,249732,140929,87270,103895,199634,64557,127007,0,13675,82520,310584,58415,15979,14725,25313,68101,237502,407978,36919,154906,88982.5,9548,246762,7348,183292,46144,8713,196811,64650,47941,49366,144980,39347,30154,198656,9154,34887,146498,160504,29295,151631,95200,37038,21300,0,80934,65100.5,5333,24356.4,52442,34289,0,75527,0,36798.7,0,21317,31084,31384,28002,35928,100471,125990,25994,108220,14796,22500,20287,31625,21160,20466,32798,0,26969,73335.8,2878,16832,22263,49320,25922,16631,63542,13838,72915,10782,18092,16748,17301,24584,6201,11102,19592,4135,22657,2967,12676,81320,21517,12611,24864,33925,10386,22357,71721,10732,7396,15390,11532,6913,60504,18716.6,17366,21433,11354,44474,24525.1,32460,26008,20557,6811,20536.5,3729,7225,17723,5180,25973,6174,21457,7317,19756,5048,8930,8506,2809,0,0,14901,5393,4212,5825,4769,5383,7896,10376
1,1.14E+07,595230,114343,2.84E+06,125234,1.49E+06,239676,337863,3.03E+06,1.79E+06,1.78E+06,1.14E+06,4.98E+06,1.48E+06,892580,411967,142554,369919,919550,587680,281298,460751,812553,583207,49354,1.11E+06,1.06E+06,421579,3356,748956,584871,48230,330235,276200,196641,265065,92664,430950,479120,150926,306446,197516,422736,108668,425748,329896,24256,216236,393919,201410,0,357087,122435,185996,70958,92127,145552,41239,203893,0,78306,70296,158816,52773,13279,0,8426,228009,303061,135031,37783,94745,121274,97429.2,100510,97352.8,230405,145922,8263,79020,43815,147868,62336.1,78320,125443,24675,81893,11831.7,57215,139302,67261,99845,68976,200213,50599,75831,0,52489,11920,5416,6655,24280,33764,58860,65582,0,3668,0,18546.7,101696,19120,17280,32457,35214,42384,35720,38216,28213,16929,42400,46425,48563,46288,29180,31959,42883,34140,0,50964,8224,60659,23396,48322,27648,51356,29052,13369.5,20268.5,56719,37957,34790,12456,9100,41130,9703,28734,4835,19785,28379,16187,0,26917,22241,63753,32054,26011,33946,0,34208,36401,9109,23679,50564,28535,13658,10760,16258,17750,41247,7744,13924,13525,12688,4444,19229,11176,6160,14328,21681,28103,14559,30606,15508,16107,13068,12902,9441,17721,16943,4329,4213,3161,102974,7421,5706,3745
1,5.10E+06,761436,1.05E+06,497312,150154,1.31E+06,1.62E+06,450415,2.44E+06,292185,399290,2.04E+06,752300,439081,881035,2.79E+06,917718,999659,342915,362490,215848,934159,396545,369039,56983,94674,1.50E+06,456200,492342,1.10E+06,446516,68043,923470,788594,187543,624004,124020,111098,81842,283895,176533,100148,199202,112305,82409,1.38E+06,26539,98960,181899,538726,0,106547,445854,367542,57873,91796,137909,62330,37029,0,29027,47660,95950,25780,0,0,74419,46406,204581,544101,174910,223551,28368,70243,157212,70564,211922,35856,6532,157044,119308,42007,41538,178835,11887,11832,181051,6941,28527,75988,123121,39483,179942,54316,12777,60313,19558,133075,99767,29463,22316,56152,35588,0,69962,11489,12615,13166,17614,7941,22205,24293,154658,78640,116399,14277,113341,98740,15030,19802,24961,10613,19304,19737,0,9017,149795,3061,7221,30751,45023,59664,120825,77694,8948,82864,9302,20268.5,57752,13539,16490.9,17231,10220,14069,5481,10013,3119,10366,102204,14975,0,0,10278,107060,0,87027,8956,0,24518.2,7498,8433,52924,10617,14537,6838,20586,12881,33787,27668,52442,34768,6989,26806,7086,10603,33941,3488,32173,0,17971,13191.2,22610,12482.7,0,6554,16043,0,0,11103,3489,0,8558,3180,5400,9435,9833
1,1.36E+07,813804,124839,2.55E+06,133079,1.40E+06,1.92E+06,1.09E+06,2.63E+06,200048,2.80E+06,2.22E+06,1.10E+06,1.67E+06,1.74E+06,1.06E+06,1.11E+06,571802,1.49E+06,480328,305305,1.22E+06,923134,452719,40465,317248,2.00E+06,374015,1.10E+06,1.50E+06,1.54E+06,80594,352207,351959,166925,338376,228735,357517,208300,240936,394717,132007,1.13E+06,99528,360001,1.01E+06,26302,324523,1.12E+06,212569,0,695723,146950,305365,94499,228106,121929,110612,98160,14425,16964,171876,171656,11471,0,0,150221,154292,234963,401713,122216,105432,152899,198757,114242,210938,211922,156188,5628,102342,81915,238746,57067,119889,62483.1,20066,82186,11831.7,65125,47808,71877,96866,157087,217807,40096,54937,0,52493,44002,6363,8541,69745,53943,82923,63677,0,25052,0,21598,28798,49356,86870,73906,55690,59692,63522,63139,53433,25295,75171,63205,43792,46212,27875,0,19671,138729,2992,43111,97140,58424,74942,86380,56711,38375.7,43049,13369.5,9015,82941,36513,30471,17537,8467,89100,4844,27582,5544,17961,68170,35941,7252,13291,35408,87379,15115,70074,76746,12517,52377,54762,19365,18669,15066,30344,10520,12171,21877,24525.1,30966,44141,12585,14750,17401,4039,37339,9616,3391,20870,12412,21296,19086,27142,14738,15487,7675,13592,9841,20219,13469,4311,0,3392,4760,5091,6390,4101
1,9.32E+06,912061,440979,1.63E+06,45256,1.37E+06,1.27E+06,413659,2.93E+06,1.74E+06,794038,1.11E+06,1.06E+06,946612,683584,3.85E+06,783001,869390,586245,434659,193108,603981,1.06E+06,663481,111184,454449,426554,412576,478817,413374,630096,43745,384884,310545,155039,261493,100456,128831,122553,468954,621163,144424,188236,85965,94219,1.84E+06,22068,199170,133655,263659,0,157791,139345,158593,114612,81180,228040,53528,72657,0,111728,76180,96801,52373,0,0,23373,50955,246384,839418,154236,121994,71961,28093,160356,21052,175743,40342,8458,180303,93228,52475,62944,143052,60936,13809,191109,11831.7,83744,126481,107122,101428,230330,71005,37935,8410,0,53520,136599,20829.9,24356.4,37580,83511,64778,55149,0,20025,0,18546.7,37489,18207,28795,52901,100537,126542,25090,127665,56288,19387,32822,56663,51665,23850,18156,35417,38930,54662,3210,8846,27098,51142,29800,29407,89383,26202,96332,4540,20268.5,22890,29553,11210,16377,0,32653.4,6692,19931,6626,12657.1,79023.5,23068,0,10248,9868,15444,9342,59024.8,15519,19483,15272,17063,13369,42439,18506,8383,0,19509,18120,24171,37899.6,32935,15189,13869,22174,4725,15319,8800,3647,26256,0,21476,8549,11473,5632,0,4410,0,0,7325,12493,3040,0,3424,86092,193509,9675,10226
1,6.31E+06,1.38E+06,1.19E+06,468970,248372,1.27E+06,3.05E+06,381377,3.09E+06,319361,595828,802638,1.02E+06,922117,761141,2.36E+06,1.84E+06,1.65E+06,581858,325965,221772,1.05E+06,522809,564132,43174,24962,888540,414787,741791,609128,1.99E+06,55333,426921,307094,118179,278505,103538,161381,129335,389340,249011,134485,151579,74900,114548,2.82E+06,22987,152109,182454,307535,34404,113566,133430,176365,175109,118802,194685,44077,61733,27189,23584,45975,145532,21628,12918,22780,301317,69602,293322,1.39E+06,254394,142110,70085,97784,227394,99112,215388,37990,4999,201424,143354,71203,62336.1,174440,27770,55719,252674,7676,47777,63069,132938,52891,284439,85964,11924,25659,0,58008,82703,83000,54722,40943,14803,27095,50604,0,29539,0,20838,9512,23699,27101,70547,123350,173748,20193,170826,73219,16529,19059,48542,16554,17588,22003,0,6437,73335.8,0,12222,56567,62917,27036,46234,128780,19624,134063,8351,17985,45787,18635,14326,32704,6547,23290,5794,7605,5582,10307,79023.5,23715,0,8526,12735,17157,9448,59024.8,13114,14033,12390,7772,8238,68452,4785,18116,10557,7997,25471,29944,40234,20506,16518,10451,26160,3619,8371,9915,4021,28372,6338,26606,13191.2,9964,12482.7,0,9293.13,0,2973,0,16514,5080.04,2400,2779,7478,5773,13556,13576
